PONTOS RASTREADOS;;;;
Id;E (entrega2);N (entrega2);h_(Elipsoidal);H_(Ortométrica)
RN00292L;553864.793;8567231.020;-6.702;4.191
RN00436;558742.198;8562529.583;4.077;14.666
RN00486;552826.151;8565750.631;-5.168;5.728
RN00497;555648.830;8567287.580;64.162;74.826
RN00513;552720.731;8570396.222;-6.827;4.022
RN00534;554207.436;8569164.928;-1.439;9.299
RN00558;558806.865;8573636.531;92.231;102.849
RN00561;552343.107;8570585.649;5.023;15.869
RN3603Z;571164.968;8573315.247;-0.242;10.364
RN3618P;570396.042;8572620.198;0.661;11.284
RN3618U;569568.036;8570402.847;-0.088;10.514
RN3618X;569214.074;8569529.792;8.528;19.154
RN3619C;566449.273;8567695.340;-6.907;3.740
RN3619G;562882.790;8565527.719;-5.962;4.679
RN3619U;556522.122;8561232.670;1.615;12.402
RN3620F;552341.591;8561902.389;15.007;25.880
RN3620M;550741.263;8562677.140;27.773;38.666
RN3621A;567192.125;8571046.715;-0.705;9.936
RN3621B;566499.714;8570799.556;7.229;17.986
RN3621D;565336.762;8569776.825;8.006;18.812
RN3621H;562672.074;8569066.325;31.562;42.237
RN3622A;555651.915;8564643.099;10.139;20.938
RN3622E;553794.901;8566204.803;25.908;36.779
RN3651R;555927.122;8575516.208;38.142;49.192
RN3651X;556933.689;8580820.277;-7.786;3.372
RN3652D;554795.601;8584945.358;-2.504;8.840
RN3652H;555306.452;8585741.811;-8.156;3.149
RN3671P;557195.569;8582884.116;3.633;14.862
RN3671R;558095.650;8581491.862;13.921;25.068
RN3671V;560453.865;8576780.035;59.706;70.503
RN9SIM;566668.655;8581854.474;80.370;91.247
